,dumb,reduced,residual
2011-01-01 00:00:00,0.0,0.0,0.0
2011-01-01 00:15:00,0.0,0.0,0.0
2011-01-01 00:30:00,0.0,0.0,0.0
2011-01-01 00:45:00,0.0,0.0,0.0
2011-01-01 01:00:00,0.0,0.0,0.0
2011-01-01 01:15:00,0.0,0.0,0.0
2011-01-01 01:30:00,0.0,0.0,0.0
2011-01-01 01:45:00,0.0,0.0,0.0
2011-01-01 02:00:00,0.0,0.0,0.0
2011-01-01 02:15:00,0.0,0.0,0.0
2011-01-01 02:30:00,0.0,0.0,0.0
2011-01-01 02:45:00,0.0,0.0,0.0
2011-01-01 03:00:00,0.0,0.0,0.0
2011-01-01 03:15:00,0.0,0.0,0.0
2011-01-01 03:30:00,0.0,0.0,0.0
2011-01-01 03:45:00,0.0,0.0,0.0
2011-01-01 04:00:00,0.0,0.0,0.0
2011-01-01 04:15:00,0.044,0.0044,0.011
2011-01-01 04:30:00,0.0587,0.0069700000000000005,0.0037
2011-01-01 04:45:00,0.05499999999999999,0.047181110999999984,0.044
2011-01-01 05:00:00,0.094,0.09718111100000003,0.094
2011-01-01 05:15:00,0.138,0.09286572630000003,0.105
2011-01-01 05:30:00,0.1967,0.1275403294,0.1087
2011-01-01 05:45:00,0.3141000000000001,0.0799092948,0.0881
2011-01-01 06:00:00,0.6796000000000003,0.2030153914999998,0.17980000000000004
2011-01-01 06:15:00,0.8669000000000007,0.2948704235999995,0.22760000000000005
2011-01-01 06:30:00,1.3960999999999995,0.6010825696999991,0.44630000000000003
2011-01-01 06:45:00,1.6580999999999992,0.7319976926099985,0.5211
2011-01-01 07:00:00,1.8010999999999973,0.9190791088599978,0.6297000000000003
2011-01-01 07:15:00,2.3948999999999967,1.1924179639600023,0.7567000000000003
2011-01-01 07:30:00,2.828499999999997,1.6673459973600149,1.0411
2011-01-01 07:45:00,3.081999999999996,1.6621522761600116,1.0525000000000002
2011-01-01 08:00:00,2.9950999999999954,1.939682003100021,1.008
2011-01-01 08:15:00,2.978299999999996,1.985742764260019,0.9873999999999999
2011-01-01 08:30:00,2.6374999999999953,1.9445390166100154,0.9154000000000001
2011-01-01 08:45:00,2.0963999999999947,1.7496304710700108,0.7423000000000004
2011-01-01 09:00:00,2.0630999999999955,1.8623275245700135,0.9010000000000007
2011-01-01 09:15:00,1.954299999999996,1.8408683447000138,0.9096000000000005
2011-01-01 09:30:00,1.8235999999999968,1.7665600842000109,0.8303000000000006
2011-01-01 09:45:00,1.6670999999999978,1.6626929598000082,0.7620000000000006
2011-01-01 10:00:00,1.3553999999999995,1.545762966920005,0.8354000000000008
2011-01-01 10:15:00,1.2490000000000003,1.4877961773200035,0.8134000000000008
2011-01-01 10:30:00,1.293,1.4275296242600026,0.8024000000000007
2011-01-01 10:45:00,1.2292,1.3571541661600013,0.7915000000000006
2011-01-01 11:00:00,0.9274000000000009,1.2426744126600004,0.8994000000000009
2011-01-01 11:15:00,0.8077000000000008,1.23966576616,0.8994000000000008
2011-01-01 11:30:00,1.026100000000001,1.387190588360003,0.897600000000001
2011-01-01 11:45:00,0.9824000000000008,1.2778910148600013,0.9004000000000009
2011-01-01 12:00:00,0.9530000000000006,1.237565021060001,1.4851999999999992
2011-01-01 12:15:00,1.0873000000000002,1.3697947106600037,1.4927999999999995
2011-01-01 12:30:00,1.2808000000000004,1.4359154553600046,1.495099999999999
2011-01-01 12:45:00,1.3675000000000006,1.4734332260600056,1.5000999999999984
2011-01-01 13:00:00,1.4115000000000004,1.4641340800600064,4.345200000000005
2011-01-01 13:15:00,1.2892000000000001,1.4143214001400055,4.350800000000004
2011-01-01 13:30:00,1.2908000000000002,1.356953770840004,4.3511000000000015
2011-01-01 13:45:00,1.4260000000000004,1.4592098464400056,4.347000000000005
2011-01-01 14:00:00,1.4078000000000004,1.4591090497500052,3.9740000000000046
2011-01-01 14:15:00,1.4164999999999999,1.4181053354000053,3.9777000000000027
2011-01-01 14:30:00,1.6768,1.6039946490500052,3.975500000000001
2011-01-01 14:45:00,1.7186000000000003,1.6739243624000044,3.983100000000002
2011-01-01 15:00:00,1.842000000000001,1.6698794000000028,1.9120000000000004
2011-01-01 15:15:00,1.9092000000000005,1.7901367633000023,1.9314000000000002
2011-01-01 15:30:00,1.769000000000001,1.5634943329000017,1.9490000000000003
2011-01-01 15:45:00,1.7448000000000008,1.6083787723000014,1.9651000000000007
2011-01-01 16:00:00,1.873500000000001,1.6319245180000008,1.0706
2011-01-01 16:15:00,2.0371,1.7018166002800004,1.0728000000000002
2011-01-01 16:30:00,2.3282999999999996,1.8381732448399997,1.2135000000000002
2011-01-01 16:45:00,2.670199999999999,2.2232579005400024,1.6091000000000004
2011-01-01 17:00:00,2.757199999999997,2.140477231800001,1.3770000000000004
2011-01-01 17:15:00,2.6737999999999977,2.066190657250001,1.3816000000000002
2011-01-01 17:30:00,2.7082999999999986,2.01529665543,1.3733000000000004
2011-01-01 17:45:00,2.8366999999999987,2.07623421956,1.3806000000000005
2011-01-01 18:00:00,2.571499999999998,1.9367297572999984,1.1190000000000002
2011-01-01 18:15:00,2.597399999999998,1.9474785957699983,1.1227
2011-01-01 18:30:00,3.3195999999999963,2.2667473408699994,1.4073000000000002
2011-01-01 18:45:00,3.2582999999999975,2.4348996998200008,1.5391000000000001
2011-01-01 19:00:00,2.9027999999999987,2.235489300419999,1.3231000000000004
2011-01-01 19:15:00,2.577699999999999,2.117932753039999,1.2314000000000003
2011-01-01 19:30:00,2.2829000000000006,2.0188120411399972,1.1617000000000004
