,generation,load,ev_demand,ev_demand_private,ev_demand_flex
176,142127.515625,217741.546875,17042.715539740526,7850.595427970379,7560.493404200226
177,26409.72265625,285456.5625,15984.714027170927,7279.950205487076,6991.896328151096
1056,120708.4453125,70887.921875,5996.209474110978,2757.1368499112077,2658.8671642226595
1690,497824.375,68958.671875,6217.340693271881,2882.508282560291,2784.3988212274285
1811,371761.65625,78052.3046875,7497.177369897434,3484.959728187054,3370.63460624034
2534,17769.35546875,368472.1875,9075.199764535324,4247.781296173496,4102.256842869811
